CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage,Skills,MatchScore
NEXT,Bioscience,Production,Industrial Machinery Mechanics,49-9041,40560.0,54310.0,"['Basic Accounting', 'Microsoft Office', 'Organizational Skills', 'Adaptability', 'Customer Service']",0
"NEXT,Bioscience,Production,""Maintenance and Repair Workers, General"",49-9071,27790,38140",,,,,,,"['Time Management', 'Scheduling', 'Customer Service', 'Teamwork', 'Organizational Skills', 'Communication']",0
NEXT,Bioscience,Production,First-Line Supervisors of Production and Operating Workers,51-1011,41920.0,57630.0,"['Basic Accounting', 'Research', 'Scheduling', 'Customer Service', 'Resource Management']",1
NEXT,Bioscience,Production,Machinists,51-4041,32850.0,44660.0,"['Organizational Skills', 'Critical Thinking', 'Basic Accounting', 'Teamwork', 'Resource Management', 'Research']",1
NEXT,Bioscience,Production,Chemical Plant and System Operators,51-8091,57280.0,68280.0,"['Teamwork', 'Adaptability', 'Resource Management']",0
LATER,Bioscience,Production,Industrial Production Managers,nov.51,71430.0,101000.0,"['Critical Thinking', 'Organizational Skills', 'Basic Accounting', 'Microsoft Office', 'Scheduling', 'Communication']",0
LATER,Bioscience,Production,Industrial Engineers,17-2112,65960.0,86620.0,"['Scheduling', 'Customer Service', 'Time Management', 'Adaptability']",0
LATER,Bioscience,Production,Mechanical Engineers,17-2141,66350.0,86360.0,"['Critical Thinking', 'Research', 'Scheduling']",1
"NOW,Bioscience,Research and Development,""Weighers, Measurers, Checkers, and Samplers, Recordkeeping"",43-5111,22190,30660",,,,,,,"['Teamwork', 'Organizational Skills', 'Time Management', 'Customer Service', 'Basic Accounting']",0
"NOW,Bioscience,Research and Development,""Farmworkers and Laborers, Crop, Nursery, and Greenhouse"",45-2092,20170,27370",,,,,,,"['Teamwork', 'Scheduling', 'Communication', 'Time Management']",0
NEXT,Bioscience,Research and Development,Agricultural and Food Science Technicians,19-4011,29380.0,43330.0,"['Scheduling', 'Organizational Skills', 'Customer Service', 'Time Management', 'Communication', 'Critical Thinking']",0
NEXT,Bioscience,Research and Development,Chemical Technicians,19-4031,36970.0,51360.0,"['Scheduling', 'Microsoft Office', 'Resource Management', 'Teamwork']",0
"NEXT,Bioscience,Research and Development,""First-Line Supervisors of Farming, Fishing, and Forestry Workers"",45-1011,37630,48610",,,,,,,"['Microsoft Office', 'Basic Accounting', 'Scheduling', 'Organizational Skills', 'Teamwork']",0
LATER,Bioscience,Research and Development,Natural Sciences Managers,nov.21,63770.0,113730.0,"['Time Management', 'Customer Service', 'Communication']",0
LATER,Bioscience,Research and Development,Chemical Engineers,17-2041,76670.0,104960.0,"['Adaptability', 'Teamwork', 'Organizational Skills', 'Communication']",0
LATER,Bioscience,Research and Development,Food Scientists and Technologists,19-1012,43050.0,69580.0,"['Scheduling', 'Time Management', 'Resource Management', 'Organizational Skills']",0
LATER,Bioscience,Research and Development,Biochemists and Biophysicists,19-1021,56250.0,87010.0,"['Customer Service', 'Adaptability', 'Organizational Skills', 'Time Management']",0
"LATER,Bioscience,Research and Development,""Medical Scientists, Except Epidemiologists"",19-1042,45270,63800",,,,,,,"['Research', 'Time Management', 'Adaptability', 'Customer Service', 'Organizational Skills', 'Scheduling']",1
LATER,Bioscience,Research and Development,Chemists,19-2031,51110.0,72080.0,"['Critical Thinking', 'Resource Management', 'Scheduling', 'Adaptability']",0
LATER,Bioscience,Research and Development,Biological Technicians,19-4021,32850.0,40730.0,"['Teamwork', 'Time Management', 'Research', 'Communication', 'Organizational Skills', 'Resource Management']",1
NEXT,Construction,Engineering and Quality Control,Architectural and Civil Drafters,17-3011,38670.0,50970.0,"['Research', 'Microsoft Office', 'Customer Service', 'Time Management', 'Scheduling', 'Adaptability']",1
NEXT,Construction,Engineering and Quality Control,Electrical and Electronics Drafters,17-3012,43610.0,55370.0,"['Communication', 'Adaptability', 'Organizational Skills', 'Time Management', 'Customer Service']",0
NEXT,Construction,Engineering and Quality Control,Mechanical Drafters,17-3013,39640.0,51900.0,"['Communication', 'Scheduling', 'Basic Accounting']",0
NEXT,Construction,Engineering and Quality Control,Civil Engineering Technicians,17-3022,39480.0,51060.0,"['Resource Management', 'Customer Service', 'Adaptability', 'Microsoft Office']",0
NEXT,Construction,Engineering and Quality Control,Electrical and Electronic Engineering Technicians,17-3023,49320.0,62330.0,"['Critical Thinking', 'Basic Accounting', 'Research']",1
NEXT,Construction,Engineering and Quality Control,Environmental Engineering Technicians,17-3025,31440.0,43840.0,"['Communication', 'Scheduling', 'Customer Service']",0
NEXT,Construction,Engineering and Quality Control,Mechanical Engineering Technicians,17-3027,37960.0,53490.0,"['Scheduling', 'Basic Accounting', 'Adaptability']",0
LATER,Construction,Engineering and Quality Control,Architectural and Engineering Managers,nov.41,106270.0,135440.0,"['Scheduling', 'Customer Service', 'Resource Management', 'Critical Thinking', 'Research']",1
"LATER,Construction,Engineering and Quality Control,""Architects, Except Landscape and Naval"",17-1011,51990,75970",,,,,,,"['Resource Management', 'Adaptability', 'Basic Accounting', 'Communication', 'Organizational Skills']",0
LATER,Construction,Engineering and Quality Control,Surveyors,17-1022,42920.0,56180.0,"['Basic Accounting', 'Organizational Skills', 'Time Management', 'Research']",1
LATER,Construction,Engineering and Quality Control,Civil Engineers,17-2051,61710.0,85090.0,"['Research', 'Resource Management', 'Scheduling', 'Teamwork', 'Microsoft Office']",1
LATER,Construction,Engineering and Quality Control,Electrical Engineers,17-2071,73490.0,94530.0,"['Customer Service', 'Time Management', 'Scheduling']",0
LATER,Construction,Engineering and Quality Control,Environmental Engineers,17-2081,55490.0,75570.0,"['Microsoft Office', 'Organizational Skills', 'Basic Accounting']",0
"LATER,Construction,Engineering and Quality Control,""Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"",17-2111,65380,88870",,,,,,,"['Critical Thinking', 'Organizational Skills', 'Basic Accounting', 'Scheduling']",0
LATER,Construction,Engineering and Quality Control,Mechanical Engineers,17-2141,66350.0,86360.0,"['Adaptability', 'Customer Service', 'Critical Thinking', 'Teamwork']",0
NOW,Construction,Skilled Trades,Carpet Installers,47-2041,34920.0,50920.0,"['Scheduling', 'Organizational Skills', 'Resource Management']",0
NOW,Construction,Skilled Trades,Construction Laborers,47-2061,29980.0,45540.0,"['Organizational Skills', 'Adaptability', 'Communication']",0
"NOW,Construction,Skilled Trades,""Insulation Workers, Floor, Ceiling, and Wall"",47-2131,24700,39350",,,,,,,"['Communication', 'Organizational Skills', 'Resource Management', 'Customer Service', 'Critical Thinking']",0
NOW,Construction,Skilled Trades,Pipelayers,47-2151,37550.0,54850.0,"['Communication', 'Adaptability', 'Basic Accounting', 'Microsoft Office']",0
"NOW,Construction,Skilled Trades,""Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"",47-3011,31910,47260",,,,,,,"['Resource Management', 'Teamwork', 'Research', 'Time Management', 'Customer Service', 'Scheduling']",1
NOW,Construction,Skilled Trades,Helpers--Carpenters,47-3012,28940.0,36310.0,"['Basic Accounting', 'Time Management', 'Microsoft Office', 'Research', 'Customer Service', 'Critical Thinking']",1
NOW,Construction,Skilled Trades,Helpers--Electricians,47-3013,27680.0,35350.0,"['Microsoft Office', 'Basic Accounting', 'Critical Thinking', 'Research']",1
"NOW,Construction,Skilled Trades,""Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"",47-3014,26560,40100",,,,,,,"['Critical Thinking', 'Basic Accounting', 'Time Management', 'Adaptability']",0
"NOW,Construction,Skilled Trades,""Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"",47-3015,29520,43230",,,,,,,"['Research', 'Time Management', 'Scheduling', 'Communication', 'Adaptability', 'Resource Management']",1
NOW,Construction,Skilled Trades,Helpers--Roofers,47-3016,36830.0,47120.0,"['Communication', 'Scheduling', 'Teamwork', 'Research', 'Resource Management']",1
"NOW,Construction,Skilled Trades,""Helpers--Installation, Maintenance, and Repair Workers"",49-9098,22200,29700",,,,,,,"['Basic Accounting', 'Adaptability', 'Time Management']",0
"NOW,Construction,Skilled Trades,""Laborers and Freight, Stock, and Material Movers, Hand"",53-7062,22430,29750",,,,,,,"['Time Management', 'Teamwork', 'Communication', 'Basic Accounting', 'Resource Management', 'Microsoft Office']",0
NEXT,Construction,Skilled Trades,Boilermakers,47-2011,35760.0,55370.0,"['Research', 'Resource Management', 'Communication', 'Customer Service']",1
NEXT,Construction,Skilled Trades,Brickmasons and Blockmasons,47-2021,54610.0,63710.0,"['Time Management', 'Customer Service', 'Basic Accounting', 'Teamwork']",0
NEXT,Construction,Skilled Trades,Stonemasons,47-2022,31930.0,46060.0,"['Communication', 'Research', 'Customer Service', 'Organizational Skills', 'Basic Accounting', 'Microsoft Office']",1
NEXT,Construction,Skilled Trades,Carpenters,47-2031,37340.0,54370.0,"['Communication', 'Teamwork', 'Resource Management']",0
NEXT,Construction,Skilled Trades,Tile and Marble Setters,47-2044,31990.0,53490.0,"['Time Management', 'Research', 'Organizational Skills', 'Basic Accounting']",1
NEXT,Construction,Skilled Trades,Electricians,47-2111,46530.0,61630.0,"['Organizational Skills', 'Resource Management', 'Critical Thinking', 'Basic Accounting', 'Time Management']",0
NEXT,Construction,Skilled Trades,Glaziers,47-2121,36450.0,52320.0,"['Microsoft Office', 'Organizational Skills', 'Research', 'Adaptability']",1
"NEXT,Construction,Skilled Trades,""Insulation Workers, Mechanical"",47-2132,46700,58470",,,,,,,"['Communication', 'Research', 'Basic Accounting', 'Time Management']",1
"NEXT,Construction,Skilled Trades,""Plumbers, Pipefitters, and Steamfitters"",47-2152,44010,63500",,,,,,,"['Research', 'Organizational Skills', 'Microsoft Office', 'Communication', 'Critical Thinking', 'Resource Management']",1
NEXT,Construction,Skilled Trades,Plasterers and Stucco Masons,47-2161,30430.0,43640.0,"['Basic Accounting', 'Adaptability', 'Scheduling', 'Teamwork', 'Microsoft Office', 'Organizational Skills']",0
NEXT,Construction,Skilled Trades,Reinforcing Iron and Rebar Workers,47-2171,46320.0,65980.0,"['Adaptability', 'Communication', 'Customer Service', 'Time Management']",0
NEXT,Construction,Skilled Trades,Sheet Metal Workers,47-2211,38160.0,63400.0,"['Resource Management', 'Communication', 'Organizational Skills', 'Basic Accounting', 'Teamwork']",0
NEXT,Construction,Skilled Trades,Structural Iron and Steel Workers,47-2221,40800.0,57020.0,"['Organizational Skills', 'Adaptability', 'Critical Thinking']",0
NEXT,Construction,Skilled Trades,Elevator Installers and Repairers,47-4021,56900.0,77200.0,"['Critical Thinking', 'Teamwork', 'Communication', 'Organizational Skills', 'Microsoft Office', 'Research']",1
"NEXT,Construction,Skilled Trades,""First-Line Supervisors of Mechanics, Installers, and Repairers"",49-1011,44280,60630",,,,,,,"['Scheduling', 'Customer Service', 'Critical Thinking']",0
"NEXT,Construction,Skilled Trades,""Mobile Heavy Equipment Mechanics, Except Engines"",49-3042,40080,51040",,,,,,,"['Organizational Skills', 'Research', 'Adaptability', 'Microsoft Office', 'Time Management', 'Teamwork']",1
"NEXT,Construction,Skilled Trades,""Heating, Air Conditioning, and Refrigeration Mechanics and Installers"",49-9021,33820,46930",,,,,,,"['Basic Accounting', 'Teamwork', 'Organizational Skills']",0
NEXT,Construction,Skilled Trades,Millwrights,49-9044,38550.0,58140.0,"['Time Management', 'Customer Service', 'Critical Thinking', 'Resource Management', 'Adaptability']",0
NEXT,Construction,Skilled Trades,Electrical Power-Line Installers and Repairers,49-9051,51690.0,68100.0,"['Research', 'Critical Thinking', 'Scheduling', 'Organizational Skills', 'Microsoft Office', 'Basic Accounting']",1
NEXT,Construction,Skilled Trades,Telecommunications Line Installers and Repairers,49-9052,33880.0,48440.0,"['Adaptability', 'Critical Thinking', 'Communication', 'Microsoft Office']",0
NEXT,Construction,Skilled Trades,Excavating and Loading Machine and Dragline Operators,53-7032,31600.0,44270.0,"['Microsoft Office', 'Critical Thinking', 'Research', 'Customer Service']",1
LATER,Construction,Skilled Trades,Construction Managers,nov.21,68890.0,99180.0,"['Communication', 'Organizational Skills', 'Critical Thinking']",0
LATER,Construction,Skilled Trades,Cost Estimators,13-1051,46050.0,65100.0,"['Critical Thinking', 'Resource Management', 'Organizational Skills', 'Customer Service', 'Scheduling']",0
LATER,Construction,Skilled Trades,Commercial and Industrial Designers,27-1021,39840.0,57010.0,"['Adaptability', 'Time Management', 'Organizational Skills', 'Basic Accounting']",0
LATER,Construction,Skilled Trades,Interior Designers,27-1025,42050.0,63310.0,"['Microsoft Office', 'Adaptability', 'Time Management']",0
NOW,Education,Administrative and Business Support Services,Customer Service Representatives,43-4051,25850.0,34530.0,"['Customer Service', 'Teamwork', 'Communication', 'Adaptability']",0
"NOW,Education,Administrative and Business Support Services,""Interviewers, Except Eligibility and Loan"",43-4111,24020,31990",,,,,,,"['Teamwork', 'Resource Management', 'Basic Accounting']",0
NOW,Education,Administrative and Business Support Services,Receptionists and Information Clerks,43-4171,21040.0,26600.0,"['Adaptability', 'Critical Thinking', 'Basic Accounting', 'Microsoft Office', 'Customer Service']",0
NOW,Education,Administrative and Business Support Services,Data Entry Keyers,43-9021,26100.0,30830.0,"['Customer Service', 'Teamwork', 'Research', 'Basic Accounting', 'Critical Thinking', 'Resource Management']",1
NOW,Education,Administrative and Business Support Services,Word Processors and Typists,43-9022,26560.0,33500.0,"['Teamwork', 'Organizational Skills', 'Scheduling']",0
"NOW,Education,Administrative and Business Support Services,""Office Clerks, General"",43-9061,22440,31640",,,,,,,"['Customer Service', 'Adaptability', 'Basic Accounting']",0
"NOW,Education,Administrative and Business Support Services,""Office & Administrative Support Workers, All Other"",43-9199,31740,37900",,,,,,,"['Critical Thinking', 'Adaptability', 'Research', 'Microsoft Office']",1
NEXT,Education,Administrative and Business Support Services,Web Developers,15-1134,40600.0,59210.0,"['Critical Thinking', 'Communication', 'Scheduling']",0
NEXT,Education,Administrative and Business Support Services,Computer User Support Specialists,15-1151,34390.0,46570.0,"['Basic Accounting', 'Resource Management', 'Time Management']",0
NEXT,Education,Administrative and Business Support Services,Computer Network Support Specialists,15-1152,40750.0,55100.0,"['Critical Thinking', 'Teamwork', 'Adaptability', 'Scheduling', 'Time Management', 'Research']",1
NEXT,Education,Administrative and Business Support Services,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230.0,56110.0,"['Scheduling', 'Research', 'Microsoft Office', 'Basic Accounting']",1
"NEXT,Education,Administrative and Business Support Services,""Bookkeeping, Accounting, and Auditing Clerks"",43-3031,28720,37800",,,,,,,"['Resource Management', 'Teamwork', 'Time Management', 'Communication', 'Scheduling']",0
"NEXT,Education,Administrative and Business Support Services,""Human Resources Assistants, Except Payroll and Timekeeping"",43-4161,33250,40420",,,,,,,"['Basic Accounting', 'Adaptability', 'Time Management', 'Critical Thinking', 'Microsoft Office']",0
NEXT,Education,Administrative and Business Support Services,Executive Secretaries and Executive Administrative Assistants,43-6011,44750.0,57460.0,"['Teamwork', 'Basic Accounting', 'Adaptability', 'Communication', 'Resource Management', 'Scheduling']",0
LATER,Education,Administrative and Business Support Services,General and Operations Managers,11-1021,57360.0,106730.0,"['Time Management', 'Critical Thinking', 'Customer Service', 'Research']",1
LATER,Education,Administrative and Business Support Services,Administrative Services Managers,nov.11,62290.0,89270.0,"['Basic Accounting', 'Adaptability', 'Time Management']",0
LATER,Education,Administrative and Business Support Services,Computer and Information Systems Managers,nov.21,97360.0,130240.0,"['Scheduling', 'Organizational Skills', 'Time Management']",0
LATER,Education,Administrative and Business Support Services,Financial Managers,nov.31,91630.0,134210.0,"['Organizational Skills', 'Scheduling', 'Research']",1
LATER,Education,Administrative and Business Support Services,Human Resources Managers,nov.21,83320.0,119950.0,"['Teamwork', 'Microsoft Office', 'Research', 'Adaptability', 'Communication', 'Time Management']",1
LATER,Education,Administrative and Business Support Services,Human Resources Specialists,13-1071,43630.0,63910.0,"['Organizational Skills', 'Basic Accounting', 'Research']",1
LATER,Education,Administrative and Business Support Services,Management Analysts,13-1111,56410.0,78850.0,"['Research', 'Adaptability', 'Communication', 'Scheduling', 'Teamwork']",1
"LATER,Education,Administrative and Business Support Services,""Meeting, Convention, and Event Planners"",13-1121,32800,48510",,,,,,,"['Organizational Skills', 'Teamwork', 'Adaptability', 'Critical Thinking']",0
LATER,Education,Administrative and Business Support Services,Fundraisers,13-1131,39770.0,52840.0,"['Adaptability', 'Microsoft Office', 'Basic Accounting']",0
LATER,Education,Administrative and Business Support Services,Training and Development Specialists,13-1151,40250.0,59880.0,"['Research', 'Organizational Skills', 'Basic Accounting', 'Time Management', 'Scheduling']",1
LATER,Education,Administrative and Business Support Services,Market Research Analysts & Marketing Specialists,13-1161,41100.0,64510.0,"['Resource Management', 'Research', 'Customer Service', 'Scheduling', 'Microsoft Office']",1
"LATER,Education,Administrative and Business Support Services,""Business Operations Specialists, All Other"",13-1199,49600,72000",,,,,,,"['Research', 'Scheduling', 'Time Management', 'Microsoft Office', 'Critical Thinking']",1
LATER,Education,Administrative and Business Support Services,Accountants and Auditors,13-2011,48320.0,70180.0,"['Customer Service', 'Communication', 'Microsoft Office', 'Adaptability', 'Time Management', 'Scheduling']",0
LATER,Education,Administrative and Business Support Services,Budget Analysts,13-2031,56930.0,71670.0,"['Scheduling', 'Organizational Skills', 'Resource Management', 'Basic Accounting']",0
LATER,Education,Administrative and Business Support Services,Network and Computer Systems Administrators,15-1142,60620.0,80280.0,"['Time Management', 'Adaptability', 'Communication', 'Basic Accounting']",0
LATER,Education,Administrative and Business Support Services,Graphic Designers,27-1024,34810.0,49410.0,"['Basic Accounting', 'Scheduling', 'Adaptability', 'Time Management', 'Resource Management']",0
LATER,Education,Administrative and Business Support Services,Public Relations Specialists,27-3031,40930.0,59360.0,"['Critical Thinking', 'Customer Service', 'Basic Accounting']",0
NOW,Education,Instruction,Childcare Workers,39-9011,18480.0,22850.0,"['Customer Service', 'Teamwork', 'Resource Management']",0
"NEXT,Education,Instruction,""Preschool Teachers, Except Special Education"",25-2011,21020,27360",,,,,,,"['Critical Thinking', 'Scheduling', 'Communication', 'Basic Accounting', 'Resource Management', 'Teamwork']",0
NEXT,Education,Instruction,Self-Enrichment Education Teachers,25-3021,19850.0,38310.0,"['Basic Accounting', 'Resource Management', 'Research']",1
NEXT,Education,Instruction,Teacher Assistants,25-9041,19400.0,26220.0,"['Critical Thinking', 'Research', 'Customer Service']",1
"LATER,Education,Instruction,""Education Admin., Preschool & Childcare Center"",nov.31,35510,48940",,,,,,,"['Organizational Skills', 'Research', 'Scheduling', 'Teamwork']",1
"LATER,Education,Instruction,""Education Admin., Elementary & Secondary"",nov.32,72080,95080",,,,,,,"['Time Management', 'Customer Service', 'Teamwork']",0
"LATER,Education,Instruction,""Education Administrators, Postsecondary"",nov.33,64290,107700",,,,,,,"['Critical Thinking', 'Scheduling', 'Customer Service', 'Communication']",0
"LATER,Education,Instruction,""Computer Science Teachers, Postsecondary"",25-1021,57520,85810",,,,,,,"['Microsoft Office', 'Customer Service', 'Time Management', 'Resource Management', 'Teamwork', 'Critical Thinking']",0
"LATER,Education,Instruction,""Mathematical Science Teachers, Postsecondary"",25-1022,51570,88500",,,,,,,"['Basic Accounting', 'Research', 'Critical Thinking', 'Teamwork', 'Scheduling']",1
"LATER,Education,Instruction,""Engineering Teachers, Postsecondary"",25-1032,74580,105360",,,,,,,"['Organizational Skills', 'Microsoft Office', 'Basic Accounting', 'Scheduling', 'Adaptability', 'Time Management']",0
"LATER,Education,Instruction,""Biological Science Teachers, Postsecondary"",25-1042,58520,100660",,,,,,,"['Adaptability', 'Resource Management', 'Basic Accounting', 'Organizational Skills', 'Time Management']",0
"LATER,Education,Instruction,""Chemistry Teachers, Postsecondary"",25-1052,58040,90260",,,,,,,"['Critical Thinking', 'Adaptability', 'Microsoft Office', 'Teamwork']",0
"LATER,Education,Instruction,""Political Science Teachers, Postsecondary"",25-1065,58390,87860",,,,,,,"['Customer Service', 'Teamwork', 'Scheduling', 'Organizational Skills', 'Communication', 'Resource Management']",0
"LATER,Education,Instruction,""Psychology Teachers, Postsecondary"",25-1066,54900,80410",,,,,,,"['Customer Service', 'Scheduling', 'Teamwork']",0
"LATER,Education,Instruction,""Sociology Teachers, Postsecondary"",25-1067,56170,90080",,,,,,,"['Customer Service', 'Adaptability', 'Scheduling', 'Basic Accounting']",0
"LATER,Education,Instruction,""Health Specialties Teachers, Postsecondary"",25-1071,83910,163280",,,,,,,"['Resource Management', 'Research', 'Customer Service', 'Adaptability']",1
"LATER,Education,Instruction,""Nursing Instructors and Teachers, Postsecondary"",25-1072,56880,75490",,,,,,,"['Research', 'Scheduling', 'Communication', 'Basic Accounting', 'Resource Management', 'Organizational Skills']",1
"LATER,Education,Instruction,""Education Teachers, Postsecondary"",25-1081,51330,75040",,,,,,,"['Communication', 'Basic Accounting', 'Microsoft Office']",0
"LATER,Education,Instruction,""Criminal Justice and Law Enforcement Teachers, Postsecondary"",25-1111,50140,74860",,,,,,,"['Organizational Skills', 'Communication', 'Adaptability']",0
"LATER,Education,Instruction,""Law Teachers, Postsecondary"",25-1112,58960,112020",,,,,,,"['Basic Accounting', 'Teamwork', 'Organizational Skills']",0
